IQ-TREE multicore version 2.2.2.7.modelmix COVID-edition for Mac OS X 64-bit built Jul 13 2023
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams, Ly Trong Nhan.

Host:    baiyilindeMacBook-Air.local (SSE4.2, 8 GB RAM)
Command: /Users/lindsaybai/Desktop/BIOL8706/iqtree-2.2.2.7.modelmix-MacOSX/bin/iqtree2 -s /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta -m ESTMIXNUM -mrate E,I,G,I+G,R,I+R -opt_qmix_criteria 1
Seed:    203894 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Sun Aug 13 18:21:13 2023
Kernel:  SSE2 - 1 threads (8 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 8 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta ... Fasta format detected
Reading fasta file: done in 0.0006001 secs using 70.82% CPU
Alignment most likely contains DNA/RNA sequences
Constructing alignment: done in 0.00103307 secs using 73.18% CPU
Alignment has 23 sequences with 909 columns, 412 distinct patterns
365 parsimony-informative, 70 singleton sites, 474 constant sites
                      Gap/Ambiguity  Composition  p-value
Analyzing sequences: done in 3.00407e-05 secs using 69.91% CPU
   1  6810_C_talismani        0.00%    passed     19.76%
   2  6934_R_robusta          0.00%    passed     32.84%
   3  7031_S_tenuiremis       0.00%    passed      5.88%
   4  7188_A_sargassi         0.33%    failed      0.15%
   5  7200_P_grandis          0.00%    passed      6.94%
   6  7283_R_regalis          3.96%    passed     88.35%
   7  7319_P_armatus          0.33%    passed     60.82%
   8  7455_G_splendens        0.00%    failed      0.99%
   9  7934_R_robusta          0.00%    passed     34.16%
  10  8011_E_arcticus         0.33%    passed     45.17%
  11  8243_N_edwardsii        0.33%    passed     92.58%
  12  8248_P_vigilax          1.32%    failed      0.66%
  13  8251_A_pectinatus       0.33%    passed     59.87%
  14  8254_S_atlanticus       0.33%    failed      3.79%
  15  8262_D_paraseminudus    0.00%    passed     32.27%
  16  8263_D_seminudus        0.00%    passed     31.04%
  17  8265_G_inequalis        0.99%    passed     67.39%
  18  8267_L_lucens           0.00%    passed     28.38%
  19  8270_S_aff_inermis      1.32%    failed      0.34%
  20  8292_D_paraseminudus    0.00%    passed     23.38%
  21  8315_A_pectinatus       0.33%    passed     12.25%
  22  8509_A_japonicus        0.00%    passed     20.09%
  23  8409_R_robusta          0.00%    passed     39.39%
****  TOTAL                   0.43%  5 sequences failed composition chi2 test (p-value<5%; df=3)
Checking for duplicate sequences: done in 5.79357e-05 secs using 77.67% CPU
--------------------------------------------------------------------
|                Optimizing Q-mixture model                        |
--------------------------------------------------------------------


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.002 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Optimizing NNI: done in 0.013711 secs using 90.92% CPU
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -7651.203
2. Current log-likelihood: -7648.259
3. Current log-likelihood: -7645.297
4. Current log-likelihood: -7644.051
Optimal log-likelihood: -7642.755
Rate parameters:  A-C: 2.40814  A-G: 48.93556  A-T: 3.66251  C-G: 15.99838  C-T: 99.68359  G-T: 1.00000
Base frequencies:  A: 0.271  C: 0.134  G: 0.192  T: 0.404
Proportion of invariable sites: 0.364
Gamma shape alpha: 0.363
Parameters optimization took 4 rounds (0.074 sec)
BETTER TREE FOUND at iteration 3: -7476.586
Optimizing NNI: done in 0.137489 secs using 99.98% CPU
Estimate model parameters (epsilon = 0.100)
UPDATE BEST LOG-LIKELIHOOD: -7476.471
Optimizing NNI: done in 0.138361 secs using 99.99% CPU
Optimizing NNI: done in 0.095835 secs using 99.97% CPU
Optimizing NNI: done in 0.107015 secs using 99.98% CPU
Optimizing NNI: done in 0.196039 secs using 99.98% CPU
Optimizing NNI: done in 0.0754921 secs using 99.98% CPU
Optimizing NNI: done in 0.0989408 secs using 99.98% CPU
Iteration 10 / LogL: -7477.135 / Time: 0h:4m:4s
Optimizing NNI: done in 0.131084 secs using 99.98% CPU
Optimizing NNI: done in 0.0624878 secs using 99.98% CPU
Optimizing NNI: done in 0.092211 secs using 99.99% CPU
Optimizing NNI: done in 0.103277 secs using 99.98% CPU
Optimizing NNI: done in 0.088969 secs using 99.98% CPU
Optimizing NNI: done in 0.079684 secs using 99.98% CPU
Optimizing NNI: done in 0.095304 secs using 99.98% CPU
Optimizing NNI: done in 0.10454 secs using 99.95% CPU
Optimizing NNI: done in 0.130043 secs using 99.96% CPU
Optimizing NNI: done in 0.060086 secs using 99.99% CPU
Iteration 20 / LogL: -7476.950 / Time: 0h:4m:4s
Optimizing NNI: done in 0.0914381 secs using 99.98% CPU
Optimizing NNI: done in 0.145285 secs using 99.99% CPU
Optimizing NNI: done in 0.0882311 secs using 99.99% CPU
Optimizing NNI: done in 0.104019 secs using 99.97% CPU
Optimizing NNI: done in 0.0710399 secs using 99.98% CPU
Optimizing NNI: done in 0.0771389 secs using 99.99% CPU
Optimizing NNI: done in 0.0776162 secs using 99.99% CPU
Optimizing NNI: done in 0.126434 secs using 99.98% CPU
Optimizing NNI: done in 0.117363 secs using 99.98% CPU
Optimizing NNI: done in 0.0817549 secs using 99.98% CPU
Iteration 30 / LogL: -7476.923 / Time: 0h:4m:5s (0h:0m:8s left)
Optimizing NNI: done in 0.0894649 secs using 99.98% CPU
UPDATE BEST LOG-LIKELIHOOD: -7476.469
Optimizing NNI: done in 0.121743 secs using 99.99% CPU
Optimizing NNI: done in 0.129001 secs using 99.99% CPU
Optimizing NNI: done in 0.054193 secs using 99.96% CPU
Optimizing NNI: done in 0.0693438 secs using 99.99% CPU
Optimizing NNI: done in 0.1019 secs using 99.99% CPU
Optimizing NNI: done in 0.104625 secs using 99.98% CPU
Optimizing NNI: done in 0.089478 secs using 99.92% CPU
Optimizing NNI: done in 0.076041 secs using 99.97% CPU
Optimizing NNI: done in 0.0888159 secs using 99.99% CPU
Iteration 40 / LogL: -7476.927 / Time: 0h:4m:6s (0h:0m:7s left)
Optimizing NNI: done in 0.0806689 secs using 99.99% CPU
Optimizing NNI: done in 0.18558 secs using 99.98% CPU
Optimizing NNI: done in 0.112262 secs using 99.98% CPU
Optimizing NNI: done in 0.208535 secs using 99.99% CPU
Optimizing NNI: done in 0.0843539 secs using 99.98% CPU
Optimizing NNI: done in 0.0979481 secs using 99.99% CPU
Optimizing NNI: done in 0.110991 secs using 99.99% CPU
Optimizing NNI: done in 0.0809948 secs using 99.99% CPU
Optimizing NNI: done in 0.0836909 secs using 99.98% CPU
Optimizing NNI: done in 0.096848 secs using 99.99% CPU
Iteration 50 / LogL: -7476.948 / Time: 0h:4m:8s (0h:0m:5s left)
Optimizing NNI: done in 0.064395 secs using 99.99% CPU
Optimizing NNI: done in 0.0632279 secs using 99.99% CPU
Optimizing NNI: done in 0.115971 secs using 97.18% CPU
Optimizing NNI: done in 0.103465 secs using 99.94% CPU
Optimizing NNI: done in 0.0762348 secs using 99.98% CPU
Optimizing NNI: done in 0.067879 secs using 99.98% CPU
Optimizing NNI: done in 0.042114 secs using 99.99% CPU
Optimizing NNI: done in 0.0979931 secs using 99.98% CPU
Optimizing NNI: done in 0.11326 secs using 99.98% CPU
Optimizing NNI: done in 0.104798 secs using 99.99% CPU
Iteration 60 / LogL: -7487.556 / Time: 0h:4m:8s (0h:0m:4s left)
Optimizing NNI: done in 0.0736351 secs using 98.75% CPU
Optimizing NNI: done in 0.182773 secs using 99.98% CPU
Optimizing NNI: done in 0.152002 secs using 99.98% CPU
Optimizing NNI: done in 0.106998 secs using 99.98% CPU
Optimizing NNI: done in 0.120173 secs using 99.97% CPU
Optimizing NNI: done in 0.0810401 secs using 99.98% CPU
Optimizing NNI: done in 0.0649612 secs using 99.98% CPU
Optimizing NNI: done in 0.0691111 secs using 99.98% CPU
Optimizing NNI: done in 0.0781171 secs using 99.97% CPU
Optimizing NNI: done in 0.076406 secs using 99.99% CPU
Iteration 70 / LogL: -7476.917 / Time: 0h:4m:9s (0h:0m:3s left)
Optimizing NNI: done in 0.091352 secs using 99.99% CPU
Optimizing NNI: done in 0.0907302 secs using 99.99% CPU
Optimizing NNI: done in 0.0845499 secs using 99.99% CPU
Optimizing NNI: done in 0.098536 secs using 99.99% CPU
Optimizing NNI: done in 0.0924509 secs using 99.99% CPU
Optimizing NNI: done in 0.0837171 secs using 99.97% CPU
Optimizing NNI: done in 0.127762 secs using 99.98% CPU
Optimizing NNI: done in 0.109021 secs using 99.98% CPU
Optimizing NNI: done in 0.0933299 secs using 99.98% CPU
Optimizing NNI: done in 0.0823872 secs using 99.99% CPU
Iteration 80 / LogL: -7476.921 / Time: 0h:4m:10s (0h:0m:2s left)
Optimizing NNI: done in 0.146063 secs using 99.98% CPU
Optimizing NNI: done in 0.084419 secs using 99.98% CPU
Optimizing NNI: done in 0.0605741 secs using 99.99% CPU
Optimizing NNI: done in 0.0884199 secs using 99.99% CPU
Optimizing NNI: done in 0.079113 secs using 99.98% CPU
Optimizing NNI: done in 0.085434 secs using 99.98% CPU
Optimizing NNI: done in 0.0966761 secs using 99.99% CPU
Optimizing NNI: done in 0.0703299 secs using 99.99% CPU
Optimizing NNI: done in 0.072144 secs using 99.98% CPU
Optimizing NNI: done in 0.09219 secs using 99.99% CPU
Iteration 90 / LogL: -7476.974 / Time: 0h:4m:11s (0h:0m:1s left)
Optimizing NNI: done in 0.0519562 secs using 99.98% CPU
Optimizing NNI: done in 0.114931 secs using 99.99% CPU
Optimizing NNI: done in 0.097074 secs using 99.98% CPU
Optimizing NNI: done in 0.0982571 secs using 99.98% CPU
Optimizing NNI: done in 0.126557 secs using 99.97% CPU
Optimizing NNI: done in 0.0738111 secs using 99.98% CPU
Optimizing NNI: done in 0.103094 secs using 99.98% CPU
Optimizing NNI: done in 0.0961831 secs using 99.98% CPU
Optimizing NNI: done in 0.101752 secs using 99.98% CPU
Optimizing NNI: done in 0.0982559 secs using 99.97% CPU
Iteration 100 / LogL: -7476.472 / Time: 0h:4m:12s (0h:0m:0s left)
Optimizing NNI: done in 0.0878901 secs using 99.97% CPU
Optimizing NNI: done in 0.0854552 secs using 99.98% CPU
Optimizing NNI: done in 0.0998981 secs using 99.98% CPU
Optimizing NNI: done in 0.075443 secs using 99.94% CPU
TREE SEARCH COMPLETED AFTER 104 ITERATIONS / Time: 0h:4m:13s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
CHECKPOINT: Final model parameters restored
BEST SCORE FOUND : -7476.469
Total tree length: 21.033

Total number of iterations: 104
CPU time used for tree search: 10.544 sec (0h:0m:10s)
Wall-clock time used for tree search: 10.553 sec (0h:0m:10s)
Total CPU time used: 253.075 sec (0h:4m:13s)
Total wall-clock time used: 253.084 sec (0h:4m:13s)

Analysis results written to: 
  IQ-TREE report:                /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta.iqtree
  Maximum-likelihood tree:       /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta.treefile
  Likelihood distances:          /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta.mldist
  Screen log file:               /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta.log

Date and Time: Sun Aug 13 18:25:26 2023
